"FisheryNumber","FisheryName","Gear","Term_PreTerm","Jurisdiction","Region","PSTFisheryType","Cohort_Type","CMB","CYER","MDT","MDTFigureReport","MDTFigureDetailed"
1,"AK W/S T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
2,"AK JNO T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
3,"AK JNI T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
4,"AK JLO T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
5,"AK JLI T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
6,"AK FALL T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
7,"TAK TERM T","Troll","Term","SEAK","SEAK","Terminal","Term","Terminal SEAK Troll","Terminal","Terminal SEAK Troll","TERM","Terminal SEAK"
8,"NORTH T","Troll","Preterm","Canada","NBC","AABM","Ocean","AABM NBC Troll","AABM Canada","AABM NBC Troll","CAN_AABM","AABM NBC"
9,"CENTRL T","Troll","Preterm","Canada","CBC","ISBM","Ocean","ISBM NBC&CBC Troll","ISBM Canada","ISBM NBC&CBC Troll","CAN_ISBM","ISBM Canada"
10,"WCVI F/W T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
11,"WCVI SPR T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
12,"WCVI SUM T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
13,"N FALCON T","Troll","Preterm","SUS","N Falcon","ISBM","Ocean","ISBM North of Falcon Troll","ISBM US","ISBM North of Falcon Troll","SUS_ISBM","ISBM US"
14,"S FALCON T","Troll","Preterm","SUS","S Falcon","ISBM","Ocean","ISBM South of Falcon Troll","ISBM US","ISBM South of Falcon Troll","SUS_ISBM","ISBM US"
15,"TOR TERM T","Troll","Term","SUS","Oregon","Terminal","Term","Terminal Southern US Troll","ISBM US","Terminal Southern US Troll","TERM","Terminal US"
16,"GEO ST T","Troll","Preterm","Canada","ECVI","ISBM","Ocean","ISBM Southern BC Troll","ISBM Canada","ISBM Southern BC Troll","CAN_ISBM","ISBM Canada"
17,"ALASKA N","Net","Term","SEAK","SEAK","AABM","OceanNet","AABM SEAK Net","AABM US","AABM SEAK Net","SEAK_AABM","AABM SEAK"
18,"NORTH N","Net","Term","Canada","NBC","ISBM","OceanNet","ISBM NBC&CBC Net","ISBM Canada","ISBM NBC&CBC Net","CAN_ISBM","ISBM Canada"
19,"TNBC TERM N","Net","Term","Canada","NBC","ISBM","Term","ISBM NBC&CBC Net","ISBM Canada","ISBM NBC&CBC Net","CAN_ISBM","ISBM Canada"
20,"CENTRL N","Net","Term","Canada","CBC","ISBM","OceanNet","ISBM NBC&CBC Net","ISBM Canada","ISBM NBC&CBC Net","CAN_ISBM","ISBM Canada"
21,"TCBC TERM N","Net","Term","Canada","CBC","ISBM","Term","ISBM NBC&CBC Net","ISBM Canada","ISBM NBC&CBC Net","CAN_ISBM","ISBM Canada"
22,"TWCVI TERM N","Net","Term","Canada","WCVI","ISBM","Term","Terminal Canada Net","ISBM Canada","Terminal Canada Net","TERM","Terminal Canada"
23,"WCVI N","Net","Term","Canada","WCVI","ISBM","OceanNet","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
24,"GEO ST N","Net","Term","Canada","ECVI","ISBM","OceanNet","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
25,"PGSDN N","Net","Term","SUS","Puget Sound","ISBM","OceanNet","ISBM Puget Sound Net","ISBM US","ISBM Puget Sound Net","SUS_ISBM","ISBM US"
26,"TPGSDN TERM N","Net","Term","SUS","Puget Sound","ISBM","Term","ISBM Puget Sound Net","ISBM US","ISBM Puget Sound Net","SUS_ISBM","ISBM US"
27,"US JF N","Net","Term","SUS","Puget Sound","ISBM","OceanNet","ISBM Puget Sound Net","ISBM US","ISBM Puget Sound Net","SUS_ISBM","ISBM US"
28,"PGSDO N","Net","Term","SUS","Puget Sound","ISBM","OceanNet","ISBM Puget Sound Net","ISBM US","ISBM Puget Sound Net","SUS_ISBM","ISBM US"
29,"TPGSDO TERM N","Net","Term","SUS","Puget Sound","ISBM","Term","ISBM Puget Sound Net","ISBM US","ISBM Puget Sound Net","SUS_ISBM","ISBM US"
30,"WA CST N","Net","Term","SUS","N Falcon","ISBM","OceanNet","ISBM WA Coast Net","ISBM US","ISBM WA Coast Net","SUS_ISBM","ISBM US"
31,"TCOL R N","Net","Term","SUS","Col R","Terminal","Term","Terminal Southern US Net","ISBM US","Terminal Southern US Net","TERM","Terminal US"
32,"TAK TERM N","Net","Term","SEAK","SEAK","Terminal","Term","Terminal SEAK Net","Terminal","Terminal SEAK Net","TERM","Terminal SEAK"
33,"TBR TERM N","Net","Term","SEAK","TBR","Terminal","Term","Terminal SEAK Net","Terminal","Terminal SEAK Net","TERM","Terminal SEAK"
34,"TNORTH FN","Net","Term","Canada","NBC","Terminal","Term","Terminal Canada Net","ISBM Canada","Terminal Canada Net","TERM","Terminal Canada"
35,"TCENTRAL FN","Net","Term","Canada","CBC","Terminal","Term","Terminal Canada Net","ISBM Canada","Terminal Canada Net","TERM","Terminal Canada"
36,"TGEO ST FN","Net","Term","Canada","ECVI","Terminal","Term","Terminal Canada Net","ISBM Canada","Terminal Canada Net","TERM","Terminal Canada"
37,"TFRAS FN","Net","Term","Canada","ECVI","Terminal","Term","Terminal Canada Net","ISBM Canada","Terminal Canada Net","TERM","Terminal Canada"
38,"TPS FN","Net","Term","SUS","Puget Sound","Terminal","Term","Terminal Southern US Net","ISBM US","Terminal Southern US Net","TERM","Terminal US"
39,"TWAC FN","Net","Term","SUS","SUS","Terminal","Term","Terminal Southern US Net","ISBM US","Terminal Southern US Net","TERM","Terminal US"
40,"JNST N","Net","Term","Canada","ECVI","ISBM","OceanNet","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
41,"BC JF N","Net","Term","Canada","ECVI","ISBM","OceanNet","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
42,"FRASER N","Net","Term","Canada","Fraser R","ISBM","OceanNet","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
43,"TFRASER TERM N","Net","Term","Canada","Fraser R","ISBM","Term","ISBM Southern BC Net","ISBM Canada","ISBM Southern BC Net","CAN_ISBM","ISBM Canada"
44,"ALASKA S","Sport","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Sport","AABM US","AABM SEAK Sport","CAN_AABM","AABM SEAK"
45,"CBC S","Sport","Preterm","Canada","CBC","ISBM","Ocean","ISBM NBC&CBC Sport","ISBM Canada","ISBM NBC&CBC Sport","CAN_ISBM","ISBM Canada"
46,"TCBC TERM S","Sport","Term","Canada","CBC","ISBM","Term","ISBM NBC&CBC Sport","ISBM Canada","ISBM NBC&CBC Sport","CAN_ISBM","ISBM Canada"
47,"NBC AABM S","Sport","Preterm","Canada","NBC","AABM","Ocean","AABM NBC Sport","AABM Canada","AABM NBC Sport","CAN_AABM","AABM NBC"
48,"NBC ISBM S","Sport","Preterm","Canada","NBC","ISBM","Ocean","ISBM NBC&CBC Sport","ISBM Canada","ISBM NBC&CBC Sport","CAN_ISBM","ISBM Canada"
49,"TNBC TERM S","Sport","Term","Canada","NBC","ISBM","Term","ISBM NBC&CBC Sport","ISBM Canada","ISBM NBC&CBC Sport","CAN_ISBM","ISBM Canada"
50,"WCVI AABM S","Sport","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Sport","AABM Canada","AABM WCVI Sport","CAN_AABM","AABM WCVI"
51,"WCVI ISBM S","Sport","Preterm","Canada","WCVI","ISBM","Ocean","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
52,"TWCVI TERM S","Sport","Term","Canada","WCVI","ISBM","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
53,"N FALCON S","Sport","Preterm","SUS","N Falcon","ISBM","Ocean","ISBM North of Falcon Sport","ISBM US","ISBM North of Falcon Sport","SUS_ISBM","ISBM US"
54,"TNF TERM S","Sport","Term","SUS","N Falcon","Terminal","Term","Terminal Southern US Sport","ISBM US","Terminal Southern US Sport","TERM","Terminal US"
55,"S FALCON S","Sport","Preterm","SUS","S Falcon","ISBM","Ocean","ISBM South of Falcon Sport","ISBM US","ISBM South of Falcon Sport","SUS_ISBM","ISBM US"
56,"TSF TERM S","Sport","Term","SUS","S Falcon","ISBM","Term","ISBM South of Falcon Sport","ISBM US","ISBM South of Falcon Sport","SUS_ISBM","ISBM US"
57,"PGSDN S","Sport","Preterm","SUS","Puget Sound","ISBM","Ocean","ISBM Puget Sound Sport","ISBM US","ISBM Puget Sound Sport","SUS_ISBM","ISBM US"
58,"TPGSDN TERM S","Sport","Term","SUS","Puget Sound","ISBM","Term","ISBM Puget Sound Sport","ISBM US","ISBM Puget Sound Sport","SUS_ISBM","ISBM US"
59,"PGSDO S","Sport","Preterm","SUS","Puget Sound","ISBM","Ocean","ISBM Puget Sound Sport","ISBM US","ISBM Puget Sound Sport","SUS_ISBM","ISBM US"
60,"TPGSDO TERM S","Sport","Term","SUS","Puget Sound","ISBM","Term","ISBM Puget Sound Sport","ISBM US","ISBM Puget Sound Sport","SUS_ISBM","ISBM US"
61,"JNST S","Sport","Preterm","Canada","ECVI","ISBM","Ocean","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
62,"TJNST TERM S","Sport","Term","Canada","ECVI","ISBM","Term","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
63,"GEO ST S","Sport","Preterm","Canada","ECVI","ISBM","Ocean","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
64,"TGEO ST TERM S","Sport","Term","Canada","ECVI","ISBM","Term","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
65,"BC JF S","Sport","Preterm","Canada","ECVI","ISBM","Ocean","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
66,"TBC JF TERM S","Sport","Term","Canada","ECVI","ISBM","Term","ISBM Southern BC Sport","ISBM Canada","ISBM Southern BC Sport","CAN_ISBM","ISBM Canada"
67,"TCOL R S","Sport","Term","SUS","Col R","Terminal","Term","Terminal Southern US Sport","ISBM US","Terminal Southern US Sport","TERM","Terminal US"
68,"TAK TERM S","Sport","Term","SEAK","SEAK","Terminal","Term","Terminal SEAK Sport","Terminal","Terminal SEAK Sport","TERM","Terminal SEAK"
69,"TBR TERM S","Sport","Term","SEAK","TBR","Terminal","Term","Terminal SEAK Sport","Terminal","Terminal SEAK Sport","TERM","Terminal SEAK"
70,"TNORTH FS","Sport","Term","Canada","NBC","Terminal","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
71,"TCENTRAL FS","Sport","Term","Canada","CBC","Terminal","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
72,"TWCVI FS","Sport","Term","Canada","ECVI","Terminal","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
73,"TFRASER FS","Sport","Term","Canada","ECVI","Terminal","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
74,"TGS FS","Sport","Term","Canada","ECVI","Terminal","Term","Terminal Canada Sport","ISBM Canada","Terminal Canada Sport","TERM","Terminal Canada"
75,"TPS FS","Sport","Term","SUS","Puget Sound","Terminal","Term","Terminal Southern US Sport","ISBM US","Terminal Southern US Sport","TERM","Terminal US"
76,"TSF TERM FS","Sport","Term","SUS","S Falcon","Terminal","Term","Terminal Southern US Sport","ISBM US","Terminal Southern US Sport","TERM","Terminal US"
77,"TCAN TBR N","Net","Term","Canada","NBC","Terminal","Term","Terminal Canada Net","Terminal","Terminal Canada Net","TERM","Terminal Canada"
78,"XCA ESC STRAY","other","Escapement","Canada","Stray","Escapement","Escapement","ESC","ESC","ESC","ESC_STRAYS","ESC"
79,"XUS ESC STRAY","other","Escapement","US","Stray","Escapement","Escapement","ESC","ESC","ESC","ESC_STRAYS","ESC"
